city,year,weekofyear,total_cases
sj,2008,18,8
sj,2008,19,5
sj,2008,20,12
sj,2008,21,24
sj,2008,22,9
sj,2008,23,15
sj,2008,24,9
sj,2008,25,17
sj,2008,26,16
sj,2008,27,16
sj,2008,28,16
sj,2008,29,29
sj,2008,30,17
sj,2008,31,17
sj,2008,32,40
sj,2008,33,39
sj,2008,34,27
sj,2008,35,50
sj,2008,36,60
sj,2008,37,29
sj,2008,38,48
sj,2008,39,55
sj,2008,40,50
sj,2008,41,44
sj,2008,42,33
sj,2008,43,37
sj,2008,44,46
sj,2008,45,35
sj,2008,46,41
sj,2008,47,48
sj,2008,48,46
sj,2008,49,36
sj,2008,50,34
sj,2008,51,27
sj,2008,52,28
sj,2009,1,26
sj,2009,2,27
sj,2009,3,21
sj,2009,4,29
sj,2009,5,27
sj,2009,6,17
sj,2009,7,21
sj,2009,8,20
sj,2009,9,16
sj,2009,10,15
sj,2009,11,8
sj,2009,12,14
sj,2009,13,12
sj,2009,14,6
sj,2009,15,9
sj,2009,16,6
sj,2009,17,9
sj,2009,18,11
sj,2009,19,10
sj,2009,20,8
sj,2009,21,11
sj,2009,22,26
sj,2009,23,14
sj,2009,24,13
sj,2009,25,9
sj,2009,26,18
sj,2009,27,14
sj,2009,28,25
sj,2009,29,19
sj,2009,30,52
sj,2009,31,27
sj,2009,32,22
sj,2009,33,27
sj,2009,34,20
sj,2009,35,31
sj,2009,36,36
sj,2009,37,29
sj,2009,38,37
sj,2009,39,46
sj,2009,40,38
sj,2009,41,48
sj,2009,42,44
sj,2009,43,31
sj,2009,44,45
sj,2009,45,34
sj,2009,46,31
sj,2009,47,35
sj,2009,48,41
sj,2009,49,40
sj,2009,50,39
sj,2009,51,33
sj,2009,52,20
sj,2010,53,27
sj,2010,1,38
sj,2010,2,23
sj,2010,3,25
sj,2010,4,27
sj,2010,5,24
sj,2010,6,19
sj,2010,7,16
sj,2010,8,14
sj,2010,9,15
sj,2010,10,26
sj,2010,11,11
sj,2010,12,11
sj,2010,13,12
sj,2010,14,14
sj,2010,15,9
sj,2010,16,9
sj,2010,17,8
sj,2010,18,12
sj,2010,19,9
sj,2010,20,18
sj,2010,21,13
sj,2010,22,66
sj,2010,23,32
sj,2010,24,13
sj,2010,25,27
sj,2010,26,20
sj,2010,27,41
sj,2010,28,47
sj,2010,29,26
sj,2010,30,32
sj,2010,31,29
sj,2010,32,72
sj,2010,33,52
sj,2010,34,78
sj,2010,35,66
sj,2010,36,40
sj,2010,37,37
sj,2010,38,20
sj,2010,39,37
sj,2010,40,32
sj,2010,41,41
sj,2010,42,35
sj,2010,43,42
sj,2010,44,49
sj,2010,45,36
sj,2010,46,47
sj,2010,47,34
sj,2010,48,34
sj,2010,49,29
sj,2010,50,39
sj,2010,51,23
sj,2011,52,159
sj,2011,1,46
sj,2011,2,49
sj,2011,3,46
sj,2011,4,44
sj,2011,5,47
sj,2011,6,40
sj,2011,7,38
sj,2011,8,40
sj,2011,9,37
sj,2011,10,36
sj,2011,11,36
sj,2011,12,36
sj,2011,13,35
sj,2011,14,30
sj,2011,15,33
sj,2011,16,36
sj,2011,17,26
sj,2011,18,28
sj,2011,19,27
sj,2011,20,32
sj,2011,21,42
sj,2011,22,50
sj,2011,23,49
sj,2011,24,92
sj,2011,25,55
sj,2011,26,63
sj,2011,27,51
sj,2011,28,108
sj,2011,29,50
sj,2011,30,78
sj,2011,31,70
sj,2011,32,117
sj,2011,33,133
sj,2011,34,136
sj,2011,35,122
sj,2011,36,181
sj,2011,37,184
sj,2011,38,174
sj,2011,39,227
sj,2011,40,196
sj,2011,41,190
sj,2011,42,188
sj,2011,43,190
sj,2011,44,198
sj,2011,45,188
sj,2011,46,186
sj,2011,47,190
sj,2011,48,187
sj,2011,49,167
sj,2011,50,183
sj,2011,51,150
sj,2012,52,46
sj,2012,1,31
sj,2012,2,25
sj,2012,3,23
sj,2012,4,29
sj,2012,5,20
sj,2012,6,23
sj,2012,7,13
sj,2012,8,25
sj,2012,9,13
sj,2012,10,16
sj,2012,11,18
sj,2012,12,9
sj,2012,13,10
sj,2012,14,5
sj,2012,15,3
sj,2012,16,5
sj,2012,17,8
sj,2012,18,10
sj,2012,19,5
sj,2012,20,14
sj,2012,21,10
sj,2012,22,17
sj,2012,23,22
sj,2012,24,20
sj,2012,25,25
sj,2012,26,15
sj,2012,27,13
sj,2012,28,4
sj,2012,29,1
sj,2012,30,58
sj,2012,31,20
sj,2012,32,59
sj,2012,33,28
sj,2012,34,66
sj,2012,35,37
sj,2012,36,67
sj,2012,37,72
sj,2012,38,63
sj,2012,39,73
sj,2012,40,71
sj,2012,41,64
sj,2012,42,72
sj,2012,43,57
sj,2012,44,63
sj,2012,45,66
sj,2012,46,58
sj,2012,47,48
sj,2012,48,69
sj,2012,49,62
sj,2012,50,48
sj,2012,51,47
sj,2013,1,43
sj,2013,2,36
sj,2013,3,38
sj,2013,4,39
sj,2013,5,31
sj,2013,6,32
sj,2013,7,31
sj,2013,8,32
sj,2013,9,30
sj,2013,10,26
sj,2013,11,28
sj,2013,12,23
sj,2013,13,20
sj,2013,14,21
sj,2013,15,25
sj,2013,16,33
sj,2013,17,18
iq,2010,26,3
iq,2010,27,2
iq,2010,28,4
iq,2010,29,10
iq,2010,30,2
iq,2010,31,2
iq,2010,32,4
iq,2010,33,3
iq,2010,34,2
iq,2010,35,2
iq,2010,36,2
iq,2010,37,4
iq,2010,38,3
iq,2010,39,8
iq,2010,40,6
iq,2010,41,7
iq,2010,42,12
iq,2010,43,19
iq,2010,44,5
iq,2010,45,11
iq,2010,46,11
iq,2010,47,8
iq,2010,48,15
iq,2010,49,9
iq,2010,50,15
iq,2010,51,17
iq,2011,52,20
iq,2011,1,15
iq,2011,2,14
iq,2011,3,14
iq,2011,4,15
iq,2011,5,18
iq,2011,6,14
iq,2011,7,10
iq,2011,8,11
iq,2011,9,11
iq,2011,10,8
iq,2011,11,6
iq,2011,12,6
iq,2011,13,10
iq,2011,14,2
iq,2011,15,6
iq,2011,16,4
iq,2011,17,7
iq,2011,18,4
iq,2011,19,4
iq,2011,20,4
iq,2011,21,4
iq,2011,22,4
iq,2011,23,7
iq,2011,24,4
iq,2011,25,4
iq,2011,26,3
iq,2011,27,4
iq,2011,28,3
iq,2011,29,3
iq,2011,30,3
iq,2011,31,3
iq,2011,32,4
iq,2011,33,3
iq,2011,34,3
iq,2011,35,2
iq,2011,36,4
iq,2011,37,2
iq,2011,38,5
iq,2011,39,12
iq,2011,40,11
iq,2011,41,8
iq,2011,42,11
iq,2011,43,13
iq,2011,44,10
iq,2011,45,15
iq,2011,46,20
iq,2011,47,9
iq,2011,48,11
iq,2011,49,18
iq,2011,50,18
iq,2011,51,19
iq,2012,52,14
iq,2012,1,16
iq,2012,2,16
iq,2012,3,15
iq,2012,4,15
iq,2012,5,15
iq,2012,6,13
iq,2012,7,11
iq,2012,8,8
iq,2012,9,9
iq,2012,10,8
iq,2012,11,6
iq,2012,12,5
iq,2012,13,5
iq,2012,14,9
iq,2012,15,6
iq,2012,16,5
iq,2012,17,5
iq,2012,18,40
iq,2012,19,4
iq,2012,20,5
iq,2012,21,3
iq,2012,22,3
iq,2012,23,4
iq,2012,24,4
iq,2012,25,3
iq,2012,26,4
iq,2012,27,3
iq,2012,28,4
iq,2012,29,7
iq,2012,30,3
iq,2012,31,7
iq,2012,32,4
iq,2012,33,6
iq,2012,34,4
iq,2012,35,3
iq,2012,36,6
iq,2012,37,2
iq,2012,38,2
iq,2012,39,7
iq,2012,40,15
iq,2012,41,13
iq,2012,42,11
iq,2012,43,10
iq,2012,44,10
iq,2012,45,13
iq,2012,46,12
iq,2012,47,15
iq,2012,48,9
iq,2012,49,13
iq,2012,50,9
iq,2012,51,6
iq,2013,1,17
iq,2013,2,16
iq,2013,3,16
iq,2013,4,14
iq,2013,5,15
iq,2013,6,9
iq,2013,7,12
iq,2013,8,10
iq,2013,9,11
iq,2013,10,8
iq,2013,11,11
iq,2013,12,1
iq,2013,13,3
iq,2013,14,5
iq,2013,15,7
iq,2013,16,2
iq,2013,17,5
iq,2013,18,4
iq,2013,19,2
iq,2013,20,5
iq,2013,21,4
iq,2013,22,4
iq,2013,23,4
iq,2013,24,4
iq,2013,25,3
iq,2013,26,3
