city,year,weekofyear,total_cases
sj,2008,18,7
sj,2008,19,1
sj,2008,20,5
sj,2008,21,77
sj,2008,22,10
sj,2008,23,11
sj,2008,24,7
sj,2008,25,14
sj,2008,26,9
sj,2008,27,12
sj,2008,28,11
sj,2008,29,24
sj,2008,30,16
sj,2008,31,16
sj,2008,32,49
sj,2008,33,26
sj,2008,34,23
sj,2008,35,28
sj,2008,36,46
sj,2008,37,29
sj,2008,38,37
sj,2008,39,38
sj,2008,40,42
sj,2008,41,50
sj,2008,42,47
sj,2008,43,38
sj,2008,44,37
sj,2008,45,48
sj,2008,46,67
sj,2008,47,42
sj,2008,48,34
sj,2008,49,25
sj,2008,50,32
sj,2008,51,30
sj,2008,52,14
sj,2009,1,21
sj,2009,2,24
sj,2009,3,17
sj,2009,4,26
sj,2009,5,21
sj,2009,6,15
sj,2009,7,18
sj,2009,8,15
sj,2009,9,16
sj,2009,10,11
sj,2009,11,9
sj,2009,12,6
sj,2009,13,5
sj,2009,14,6
sj,2009,15,5
sj,2009,16,7
sj,2009,17,8
sj,2009,18,5
sj,2009,19,5
sj,2009,20,6
sj,2009,21,8
sj,2009,22,10
sj,2009,23,8
sj,2009,24,13
sj,2009,25,13
sj,2009,26,13
sj,2009,27,17
sj,2009,28,16
sj,2009,29,14
sj,2009,30,15
sj,2009,31,18
sj,2009,32,21
sj,2009,33,22
sj,2009,34,21
sj,2009,35,34
sj,2009,36,39
sj,2009,37,26
sj,2009,38,37
sj,2009,39,40
sj,2009,40,39
sj,2009,41,48
sj,2009,42,45
sj,2009,43,34
sj,2009,44,63
sj,2009,45,53
sj,2009,46,36
sj,2009,47,38
sj,2009,48,33
sj,2009,49,38
sj,2009,50,36
sj,2009,51,35
sj,2009,52,8
sj,2010,53,16
sj,2010,1,23
sj,2010,2,23
sj,2010,3,23
sj,2010,4,25
sj,2010,5,20
sj,2010,6,19
sj,2010,7,13
sj,2010,8,14
sj,2010,9,15
sj,2010,10,14
sj,2010,11,10
sj,2010,12,11
sj,2010,13,5
sj,2010,14,11
sj,2010,15,6
sj,2010,16,9
sj,2010,17,5
sj,2010,18,11
sj,2010,19,7
sj,2010,20,12
sj,2010,21,14
sj,2010,22,53
sj,2010,23,30
sj,2010,24,8
sj,2010,25,33
sj,2010,26,23
sj,2010,27,49
sj,2010,28,53
sj,2010,29,33
sj,2010,30,36
sj,2010,31,38
sj,2010,32,73
sj,2010,33,43
sj,2010,34,64
sj,2010,35,51
sj,2010,36,35
sj,2010,37,37
sj,2010,38,30
sj,2010,39,34
sj,2010,40,36
sj,2010,41,44
sj,2010,42,44
sj,2010,43,39
sj,2010,44,37
sj,2010,45,33
sj,2010,46,31
sj,2010,47,29
sj,2010,48,34
sj,2010,49,34
sj,2010,50,33
sj,2010,51,17
sj,2011,52,181
sj,2011,1,65
sj,2011,2,64
sj,2011,3,57
sj,2011,4,58
sj,2011,5,56
sj,2011,6,52
sj,2011,7,50
sj,2011,8,51
sj,2011,9,54
sj,2011,10,48
sj,2011,11,46
sj,2011,12,44
sj,2011,13,43
sj,2011,14,32
sj,2011,15,42
sj,2011,16,47
sj,2011,17,42
sj,2011,18,55
sj,2011,19,36
sj,2011,20,60
sj,2011,21,73
sj,2011,22,68
sj,2011,23,68
sj,2011,24,108
sj,2011,25,78
sj,2011,26,79
sj,2011,27,90
sj,2011,28,81
sj,2011,29,59
sj,2011,30,89
sj,2011,31,96
sj,2011,32,150
sj,2011,33,115
sj,2011,34,144
sj,2011,35,117
sj,2011,36,167
sj,2011,37,165
sj,2011,38,189
sj,2011,39,231
sj,2011,40,263
sj,2011,41,224
sj,2011,42,207
sj,2011,43,235
sj,2011,44,233
sj,2011,45,218
sj,2011,46,226
sj,2011,47,214
sj,2011,48,230
sj,2011,49,240
sj,2011,50,215
sj,2011,51,180
sj,2012,52,49
sj,2012,1,23
sj,2012,2,19
sj,2012,3,19
sj,2012,4,25
sj,2012,5,25
sj,2012,6,14
sj,2012,7,12
sj,2012,8,16
sj,2012,9,11
sj,2012,10,10
sj,2012,11,7
sj,2012,12,8
sj,2012,13,14
sj,2012,14,11
sj,2012,15,4
sj,2012,16,13
sj,2012,17,4
sj,2012,18,4
sj,2012,19,12
sj,2012,20,36
sj,2012,21,13
sj,2012,22,8
sj,2012,23,77
sj,2012,24,79
sj,2012,25,76
sj,2012,26,15
sj,2012,27,14
sj,2012,28,6
sj,2012,29,4
sj,2012,30,26
sj,2012,31,18
sj,2012,32,33
sj,2012,33,40
sj,2012,34,30
sj,2012,35,54
sj,2012,36,133
sj,2012,37,131
sj,2012,38,133
sj,2012,39,136
sj,2012,40,59
sj,2012,41,64
sj,2012,42,65
sj,2012,43,56
sj,2012,44,70
sj,2012,45,95
sj,2012,46,82
sj,2012,47,78
sj,2012,48,80
sj,2012,49,68
sj,2012,50,56
sj,2012,51,46
sj,2013,1,43
sj,2013,2,38
sj,2013,3,40
sj,2013,4,42
sj,2013,5,36
sj,2013,6,33
sj,2013,7,37
sj,2013,8,33
sj,2013,9,33
sj,2013,10,24
sj,2013,11,27
sj,2013,12,23
sj,2013,13,18
sj,2013,14,21
sj,2013,15,16
sj,2013,16,50
sj,2013,17,22
iq,2010,26,5
iq,2010,27,3
iq,2010,28,5
iq,2010,29,3
iq,2010,30,4
iq,2010,31,4
iq,2010,32,4
iq,2010,33,2
iq,2010,34,2
iq,2010,35,4
iq,2010,36,4
iq,2010,37,3
iq,2010,38,8
iq,2010,39,6
iq,2010,40,10
iq,2010,41,12
iq,2010,42,15
iq,2010,43,10
iq,2010,44,7
iq,2010,45,11
iq,2010,46,13
iq,2010,47,11
iq,2010,48,9
iq,2010,49,8
iq,2010,50,21
iq,2010,51,23
iq,2011,52,20
iq,2011,1,14
iq,2011,2,14
iq,2011,3,15
iq,2011,4,15
iq,2011,5,15
iq,2011,6,11
