city,year,weekofyear,total_cases
sj,2008,18,40
sj,2008,19,46
sj,2008,20,39
sj,2008,21,73
sj,2008,22,49
sj,2008,23,74
sj,2008,24,51
sj,2008,25,79
sj,2008,26,96
sj,2008,27,87
sj,2008,28,75
sj,2008,29,96
sj,2008,30,81
sj,2008,31,106
sj,2008,32,136
sj,2008,33,109
sj,2008,34,102
sj,2008,35,99
sj,2008,36,129
sj,2008,37,76
sj,2008,38,118
sj,2008,39,100
sj,2008,40,93
sj,2008,41,98
sj,2008,42,55
sj,2008,43,63
sj,2008,44,105
sj,2008,45,88
sj,2008,46,81
sj,2008,47,74
sj,2008,48,76
sj,2008,49,73
sj,2008,50,74
sj,2008,51,62
sj,2008,52,54
sj,2009,1,42
sj,2009,2,57
sj,2009,3,61
sj,2009,4,53
sj,2009,5,64
sj,2009,6,50
sj,2009,7,54
sj,2009,8,55
sj,2009,9,37
sj,2009,10,46
sj,2009,11,24
sj,2009,12,42
sj,2009,13,42
sj,2009,14,25
sj,2009,15,41
sj,2009,16,26
sj,2009,17,39
sj,2009,18,50
sj,2009,19,43
sj,2009,20,45
sj,2009,21,50
sj,2009,22,75
sj,2009,23,53
sj,2009,24,74
sj,2009,25,70
sj,2009,26,64
sj,2009,27,96
sj,2009,28,80
sj,2009,29,101
sj,2009,30,157
sj,2009,31,96
sj,2009,32,124
sj,2009,33,103
sj,2009,34,117
sj,2009,35,124
sj,2009,36,87
sj,2009,37,77
sj,2009,38,107
sj,2009,39,100
sj,2009,40,102
sj,2009,41,106
sj,2009,42,95
sj,2009,43,97
sj,2009,44,106
sj,2009,45,85
sj,2009,46,67
sj,2009,47,83
sj,2009,48,67
sj,2009,49,64
sj,2009,50,120
sj,2009,51,60
sj,2009,52,67
sj,2010,53,51
sj,2010,1,46
sj,2010,2,65
sj,2010,3,39
sj,2010,4,59
sj,2010,5,63
sj,2010,6,38
sj,2010,7,41
sj,2010,8,56
sj,2010,9,60
sj,2010,10,56
sj,2010,11,44
sj,2010,12,51
sj,2010,13,51
sj,2010,14,43
sj,2010,15,40
