city,year,weekofyear,total_cases
sj,2008,18,12
sj,2008,19,11
sj,2008,20,7
sj,2008,21,38
sj,2008,22,6
sj,2008,23,24
sj,2008,24,2
sj,2008,25,22
sj,2008,26,14
sj,2008,27,25
sj,2008,28,18
sj,2008,29,21
sj,2008,30,42
sj,2008,31,49
sj,2008,32,73
sj,2008,33,43
sj,2008,34,38
sj,2008,35,38
sj,2008,36,53
sj,2008,37,39
sj,2008,38,43
sj,2008,39,72
sj,2008,40,63
sj,2008,41,97
sj,2008,42,42
sj,2008,43,44
sj,2008,44,81
sj,2008,45,34
sj,2008,46,72
sj,2008,47,52
sj,2008,48,58
sj,2008,49,48
sj,2008,50,66
sj,2008,51,66
sj,2008,52,27
sj,2009,1,28
sj,2009,2,31
sj,2009,3,33
sj,2009,4,26
sj,2009,5,38
sj,2009,6,27
sj,2009,7,23
sj,2009,8,21
sj,2009,9,20
sj,2009,10,21
sj,2009,11,10
sj,2009,12,13
sj,2009,13,13
sj,2009,14,15
sj,2009,15,11
sj,2009,16,11
sj,2009,17,14
sj,2009,18,18
sj,2009,19,4
sj,2009,20,12
sj,2009,21,7
sj,2009,22,14
sj,2009,23,11
sj,2009,24,22
sj,2009,25,10
sj,2009,26,24
sj,2009,27,31
sj,2009,28,30
sj,2009,29,203
sj,2009,30,30
sj,2009,31,19
sj,2009,32,36
sj,2009,33,35
sj,2009,34,39
sj,2009,35,74
sj,2009,36,49
sj,2009,37,43
sj,2009,38,50
sj,2009,39,59
sj,2009,40,36
sj,2009,41,79
sj,2009,42,43
sj,2009,43,27
sj,2009,44,123
sj,2009,45,91
sj,2009,46,23
sj,2009,47,48
sj,2009,48,34
sj,2009,49,43
sj,2009,50,28
sj,2009,51,48
sj,2009,52,38
sj,2010,53,42
sj,2010,1,26
sj,2010,2,28
sj,2010,3,22
sj,2010,4,28
sj,2010,5,29
sj,2010,6,17
sj,2010,7,21
sj,2010,8,23
sj,2010,9,26
sj,2010,10,16
sj,2010,11,12
sj,2010,12,18
sj,2010,13,14
sj,2010,14,15
sj,2010,15,11
sj,2010,16,17
sj,2010,17,2
sj,2010,18,15
sj,2010,19,12
sj,2010,20,14
sj,2010,21,22
sj,2010,22,171
sj,2010,23,94
sj,2010,24,20
sj,2010,25,25
sj,2010,26,103
sj,2010,27,152
sj,2010,28,67
sj,2010,29,73
sj,2010,30,104
sj,2010,31,62
sj,2010,32,185
sj,2010,33,101
sj,2010,34,88
sj,2010,35,37
sj,2010,36,38
sj,2010,37,123
sj,2010,38,37
sj,2010,39,30
sj,2010,40,73
sj,2010,41,62
sj,2010,42,39
sj,2010,43,63
sj,2010,44,34
sj,2010,45,38
sj,2010,46,28
sj,2010,47,47
sj,2010,48,27
sj,2010,49,23
sj,2010,50,35
sj,2010,51,36
sj,2011,52,36
sj,2011,1,31
sj,2011,2,37
sj,2011,3,35
sj,2011,4,31
sj,2011,5,26
sj,2011,6,22
sj,2011,7,22
sj,2011,8,20
sj,2011,9,17
sj,2011,10,19
sj,2011,11,12
sj,2011,12,19
sj,2011,13,14
sj,2011,14,18
sj,2011,15,17
sj,2011,16,15
sj,2011,17,12
sj,2011,18,10
sj,2011,19,4
sj,2011,20,21
sj,2011,21,18
sj,2011,22,13
sj,2011,23,16
sj,2011,24,78
sj,2011,25,78
sj,2011,26,172
sj,2011,27,70
sj,2011,28,65
sj,2011,29,3
sj,2011,30,150
sj,2011,31,29
sj,2011,32,156
sj,2011,33,42
sj,2011,34,197
sj,2011,35,91
sj,2011,36,36
sj,2011,37,55
sj,2011,38,19
sj,2011,39,38
sj,2011,40,24
sj,2011,41,28
