city,year,weekofyear,total_cases
sj,2008,18,16
sj,2008,19,15
sj,2008,20,20
sj,2008,21,25
sj,2008,22,17
sj,2008,23,33
sj,2008,24,17
sj,2008,25,41
sj,2008,26,74
sj,2008,27,77
sj,2008,28,57
sj,2008,29,87
sj,2008,30,61
sj,2008,31,70
sj,2008,32,77
sj,2008,33,83
sj,2008,34,76
sj,2008,35,76
sj,2008,36,89
sj,2008,37,56
sj,2008,38,79
sj,2008,39,60
sj,2008,40,49
sj,2008,41,67
sj,2008,42,18
sj,2008,43,27
sj,2008,44,87
sj,2008,45,48
sj,2008,46,32
sj,2008,47,37
sj,2008,48,35
sj,2008,49,28
sj,2008,50,36
sj,2008,51,19
sj,2008,52,19
sj,2009,1,16
sj,2009,2,30
sj,2009,3,32
sj,2009,4,26
sj,2009,5,28
sj,2009,6,25
sj,2009,7,24
sj,2009,8,26
sj,2009,9,11
sj,2009,10,20
sj,2009,11,1
sj,2009,12,17
sj,2009,13,17
sj,2009,14,3
sj,2009,15,17
sj,2009,16,2
sj,2009,17,15
sj,2009,18,17
sj,2009,19,15
sj,2009,20,17
sj,2009,21,18
sj,2009,22,28
sj,2009,23,22
sj,2009,24,30
sj,2009,25,49
sj,2009,26,30
sj,2009,27,38
sj,2009,28,75
sj,2009,29,78
sj,2009,30,111
sj,2009,31,82
sj,2009,32,70
sj,2009,33,76
sj,2009,34,74
sj,2009,35,90
sj,2009,36,60
sj,2009,37,56
sj,2009,38,76
sj,2009,39,75
sj,2009,40,75
sj,2009,41,79
sj,2009,42,74
sj,2009,43,64
sj,2009,44,68
sj,2009,45,72
sj,2009,46,34
sj,2009,47,30
sj,2009,48,33
sj,2009,49,22
sj,2009,50,62
sj,2009,51,39
sj,2009,52,2
sj,2010,53,18
sj,2010,1,16
sj,2010,2,32
sj,2010,3,13
sj,2010,4,32
sj,2010,5,30
sj,2010,6,11
sj,2010,7,10
sj,2010,8,22
sj,2010,9,24
sj,2010,10,25
sj,2010,11,18
sj,2010,12,14
sj,2010,13,16
sj,2010,14,16
sj,2010,15,17
sj,2010,16,19
sj,2010,17,23
sj,2010,18,24
sj,2010,19,17
sj,2010,20,62
sj,2010,21,51
sj,2010,22,139
sj,2010,23,100
sj,2010,24,85
sj,2010,25,58
sj,2010,26,68
sj,2010,27,115
sj,2010,28,107
sj,2010,29,62
sj,2010,30,83
sj,2010,31,98
sj,2010,32,136
sj,2010,33,108
sj,2010,34,141
sj,2010,35,124
sj,2010,36,90
sj,2010,37,97
sj,2010,38,58
sj,2010,39,76
sj,2010,40,78
sj,2010,41,110
sj,2010,42,45
sj,2010,43,65
sj,2010,44,67
sj,2010,45,38
sj,2010,46,39
sj,2010,47,38
sj,2010,48,23
sj,2010,49,12
sj,2010,50,30
sj,2010,51,20
sj,2011,52,25
sj,2011,1,28
sj,2011,2,30
sj,2011,3,33
sj,2011,4,30
sj,2011,5,30
sj,2011,6,25
sj,2011,7,22
sj,2011,8,22
