city,year,weekofyear,total_cases
sj,2008,18,7
sj,2008,19,5
sj,2008,20,8
sj,2008,21,46
sj,2008,22,17
sj,2008,23,9
sj,2008,24,8
sj,2008,25,15
sj,2008,26,5
sj,2008,27,12
sj,2008,28,10
sj,2008,29,12
sj,2008,30,11
sj,2008,31,10
sj,2008,32,30
sj,2008,33,25
sj,2008,34,24
sj,2008,35,58
sj,2008,36,126
sj,2008,37,45
sj,2008,38,36
sj,2008,39,41
sj,2008,40,54
sj,2008,41,53
sj,2008,42,47
sj,2008,43,37
sj,2008,44,36
sj,2008,45,39
sj,2008,46,74
sj,2008,47,39
sj,2008,48,41
sj,2008,49,20
sj,2008,50,32
sj,2008,51,38
sj,2008,52,11
sj,2009,1,24
sj,2009,2,24
sj,2009,3,24
sj,2009,4,26
sj,2009,5,25
sj,2009,6,17
sj,2009,7,21
sj,2009,8,15
sj,2009,9,15
sj,2009,10,13
sj,2009,11,9
sj,2009,12,8
sj,2009,13,8
sj,2009,14,7
sj,2009,15,7
sj,2009,16,6
sj,2009,17,5
sj,2009,18,3
sj,2009,19,6
sj,2009,20,7
sj,2009,21,8
sj,2009,22,17
sj,2009,23,13
sj,2009,24,12
sj,2009,25,10
sj,2009,26,12
sj,2009,27,14
sj,2009,28,19
sj,2009,29,14
sj,2009,30,15
sj,2009,31,18
sj,2009,32,19
sj,2009,33,16
sj,2009,34,21
sj,2009,35,63
sj,2009,36,74
sj,2009,37,21
sj,2009,38,32
sj,2009,39,40
sj,2009,40,39
sj,2009,41,43
sj,2009,42,46
sj,2009,43,32
sj,2009,44,51
sj,2009,45,48
sj,2009,46,32
sj,2009,47,41
sj,2009,48,37
sj,2009,49,55
sj,2009,50,30
sj,2009,51,25
sj,2009,52,33
sj,2010,53,16
sj,2010,1,30
sj,2010,2,32
sj,2010,3,25
sj,2010,4,28
sj,2010,5,29
sj,2010,6,29
sj,2010,7,17
sj,2010,8,20
sj,2010,9,21
sj,2010,10,33
sj,2010,11,12
sj,2010,12,21
sj,2010,13,7
sj,2010,14,17
sj,2010,15,6
sj,2010,16,11
sj,2010,17,7
sj,2010,18,19
sj,2010,19,13
sj,2010,20,12
sj,2010,21,10
sj,2010,22,65
sj,2010,23,46
sj,2010,24,28
sj,2010,25,21
sj,2010,26,13
sj,2010,27,65
sj,2010,28,87
sj,2010,29,14
sj,2010,30,19
sj,2010,31,25
sj,2010,32,108
sj,2010,33,72
sj,2010,34,121
sj,2010,35,106
sj,2010,36,76
sj,2010,37,52
sj,2010,38,27
sj,2010,39,31
sj,2010,40,38
sj,2010,41,69
sj,2010,42,42
sj,2010,43,48
sj,2010,44,35
sj,2010,45,31
sj,2010,46,43
sj,2010,47,22
sj,2010,48,20
sj,2010,49,33
sj,2010,50,34
sj,2010,51,16
sj,2011,52,186
sj,2011,1,40
sj,2011,2,50
sj,2011,3,40
sj,2011,4,39
sj,2011,5,37
sj,2011,6,33
sj,2011,7,37
sj,2011,8,32
sj,2011,9,37
sj,2011,10,30
sj,2011,11,31
sj,2011,12,25
sj,2011,13,22
sj,2011,14,16
sj,2011,15,29
sj,2011,16,25
sj,2011,17,21
sj,2011,18,24
sj,2011,19,23
sj,2011,20,30
sj,2011,21,48
sj,2011,22,43
sj,2011,23,41
sj,2011,24,78
sj,2011,25,54
sj,2011,26,52
sj,2011,27,50
sj,2011,28,52
sj,2011,29,42
sj,2011,30,56
sj,2011,31,73
sj,2011,32,164
sj,2011,33,137
sj,2011,34,165
sj,2011,35,169
sj,2011,36,198
sj,2011,37,227
sj,2011,38,221
sj,2011,39,231
sj,2011,40,265
sj,2011,41,234
sj,2011,42,220
sj,2011,43,231
sj,2011,44,248
sj,2011,45,240
sj,2011,46,235
sj,2011,47,225
sj,2011,48,228
sj,2011,49,242
sj,2011,50,209
sj,2011,51,190
sj,2012,52,47
sj,2012,1,31
sj,2012,2,24
sj,2012,3,25
sj,2012,4,29
sj,2012,5,29
sj,2012,6,20
sj,2012,7,22
sj,2012,8,21
sj,2012,9,22
sj,2012,10,16
sj,2012,11,11
sj,2012,12,10
sj,2012,13,12
sj,2012,14,13
sj,2012,15,4
sj,2012,16,12
sj,2012,17,13
sj,2012,18,11
sj,2012,19,18
sj,2012,20,33
sj,2012,21,16
sj,2012,22,11
sj,2012,23,25
sj,2012,24,36
sj,2012,25,91
sj,2012,26,66
sj,2012,27,16
sj,2012,28,14
sj,2012,29,21
sj,2012,30,30
sj,2012,31,23
sj,2012,32,37
sj,2012,33,33
sj,2012,34,32
sj,2012,35,40
sj,2012,36,96
sj,2012,37,79
sj,2012,38,90
sj,2012,39,86
sj,2012,40,60
sj,2012,41,64
sj,2012,42,66
sj,2012,43,59
sj,2012,44,67
sj,2012,45,89
sj,2012,46,71
sj,2012,47,66
sj,2012,48,75
sj,2012,49,57
sj,2012,50,37
sj,2012,51,43
sj,2013,1,47
sj,2013,2,39
sj,2013,3,39
sj,2013,4,40
sj,2013,5,42
sj,2013,6,34
sj,2013,7,39
sj,2013,8,29
sj,2013,9,36
sj,2013,10,30
sj,2013,11,25
sj,2013,12,21
sj,2013,13,20
sj,2013,14,23
sj,2013,15,20
sj,2013,16,32
sj,2013,17,23
iq,2010,26,5
iq,2010,27,3
iq,2010,28,7
iq,2010,29,4
iq,2010,30,3
iq,2010,31,5
iq,2010,32,4
iq,2010,33,4
iq,2010,34,2
iq,2010,35,5
iq,2010,36,4
iq,2010,37,4
iq,2010,38,3
iq,2010,39,4
iq,2010,40,3
iq,2010,41,4
iq,2010,42,10
iq,2010,43,9
iq,2010,44,3
iq,2010,45,13
iq,2010,46,25
iq,2010,47,10
iq,2010,48,10
iq,2010,49,7
iq,2010,50,33
iq,2010,51,12
iq,2011,52,5
iq,2011,1,12
iq,2011,2,10
iq,2011,3,8
iq,2011,4,8
iq,2011,5,8
iq,2011,6,11
iq,2011,7,12
iq,2011,8,10
iq,2011,9,23
iq,2011,10,7
iq,2011,11,6
iq,2011,12,8
iq,2011,13,8
iq,2011,14,7
iq,2011,15,8
iq,2011,16,7
iq,2011,17,7
iq,2011,18,7
iq,2011,19,6
iq,2011,20,7
iq,2011,21,4
iq,2011,22,6
