city,year,weekofyear,total_cases
sj,2008,18,12
sj,2008,19,6
sj,2008,20,29
sj,2008,21,33
sj,2008,22,7
sj,2008,23,24
sj,2008,24,-2
sj,2008,25,23
sj,2008,26,27
sj,2008,27,19
sj,2008,28,16
sj,2008,29,26
sj,2008,30,43
sj,2008,31,59
sj,2008,32,45
sj,2008,33,37
sj,2008,34,54
sj,2008,35,63
sj,2008,36,42
sj,2008,37,37
sj,2008,38,47
sj,2008,39,64
sj,2008,40,215
sj,2008,41,107
sj,2008,42,37
sj,2008,43,46
sj,2008,44,84
sj,2008,45,38
sj,2008,46,75
sj,2008,47,36
sj,2008,48,74
sj,2008,49,47
sj,2008,50,66
sj,2008,51,64
sj,2008,52,28
sj,2009,1,22
sj,2009,2,44
sj,2009,3,33
sj,2009,4,33
sj,2009,5,27
sj,2009,6,25
sj,2009,7,23
sj,2009,8,22
sj,2009,9,18
sj,2009,10,18
sj,2009,11,10
sj,2009,12,13
sj,2009,13,9
sj,2009,14,12
sj,2009,15,10
sj,2009,16,6
sj,2009,17,15
sj,2009,18,14
sj,2009,19,5
sj,2009,20,11
sj,2009,21,9
sj,2009,22,24
sj,2009,23,12
sj,2009,24,20
sj,2009,25,17
sj,2009,26,25
sj,2009,27,46
sj,2009,28,30
sj,2009,29,30
sj,2009,30,20
sj,2009,31,13
sj,2009,32,37
sj,2009,33,26
sj,2009,34,36
sj,2009,35,86
sj,2009,36,50
sj,2009,37,42
sj,2009,38,47
sj,2009,39,67
sj,2009,40,49
sj,2009,41,66
sj,2009,42,71
sj,2009,43,41
sj,2009,44,156
sj,2009,45,141
sj,2009,46,13
sj,2009,47,47
sj,2009,48,31
sj,2009,49,41
sj,2009,50,33
sj,2009,51,47
sj,2009,52,38
sj,2010,53,38
sj,2010,1,26
sj,2010,2,31
sj,2010,3,25
sj,2010,4,32
sj,2010,5,27
sj,2010,6,15
sj,2010,7,18
sj,2010,8,31
sj,2010,9,21
sj,2010,10,14
sj,2010,11,12
sj,2010,12,20
sj,2010,13,15
sj,2010,14,16
sj,2010,15,10
sj,2010,16,15
sj,2010,17,6
sj,2010,18,16
sj,2010,19,6
sj,2010,20,16
sj,2010,21,30
sj,2010,22,146
sj,2010,23,94
sj,2010,24,28
sj,2010,25,37
sj,2010,26,79
sj,2010,27,158
sj,2010,28,105
sj,2010,29,55
sj,2010,30,88
sj,2010,31,72
sj,2010,32,143
sj,2010,33,85
sj,2010,34,106
sj,2010,35,59
sj,2010,36,65
sj,2010,37,99
sj,2010,38,29
sj,2010,39,28
sj,2010,40,44
