year,population,city,density
2000,386666,iq,1048
2001,393355,iq,1066
2002,399770,iq,1083
2003,405988,iq,1100
2004,412095,iq,1117
2005,418168,iq,1133
2006,424247,iq,1150
2007,430268,iq,1166
2008,436185,iq,1182
2009,441939,iq,1197
2010,447467,iq,1212
2011,452757,iq,1227
2012,457865,iq,1241
2013,462783,iq,1254
2014,467493,iq,1267
1990,373459,sj,3015
1991,377859,sj,3050
1992,382259,sj,3086
1993,386659,sj,3122
1994,391059,sj,3157
1995,395459,sj,3193
1996,399860,sj,3228
1997,404260,sj,3264
1998,408660,sj,3299
1999,413060,sj,3335
2000,402324,sj,3248
2001,403426,sj,3257
2002,404194,sj,3263
2003,404685,sj,3267
2004,405015,sj,3270
2005,404706,sj,3267
2006,403254,sj,3255
2007,401142,sj,3238
2008,399025,sj,3221
2009,397089,sj,3206
2010,395326,sj,3191
2011,391872,sj,3164
2012,387388,sj,3127
2013,382522,sj,3088
2014,377553,sj,3048
